"","Model","XKA"
"MDK",-0.0505232376923516,-0.431755521971758
"LOC101928991",1.26282405917434,-1.32578472332318
"PXN",0.00532928478937867,-0.337965017964672
"CAPN9",-1.76039504744451,1.54390828935746
"RAP1GDS1",0.18855467726375,-0.331411735999036
"CDC20B",-1.21407077887758,1.40152486978202
"SNUPN",-0.753624680743939,0.880955535087052
"LIMS2",0.364563667296715,-0.349951207050942
"SYNJ2",0.600184450044249,-0.647111127684627
"ARHGEF5",0.0368492086559066,-0.467357029158831
"IER2",-0.480190246698675,0.313563536266994
"HEATR5A",0.28518844894681,-0.410819871387599
"FAM76A",0.179593342520368,0.28498295168315
"CHID1",0.00703442859960301,-0.639495153158919
"BOC",0.122818574101331,-0.647065777906799
"C17orf105",0.585064783675127,-0.646882147435069
"SHKBP1",-0.110882309256702,-0.351160011861747
"SDR42E1",0.561319413607904,-0.408551886762174
"PHTF1",-0.292241198607423,-0.514478052122481
"TMEM9B",0.303299710357245,-0.361837423422348
"GNG10",0.794014161376849,-0.251952911294495
"HMGCR",-1.34360885879778,0.608870106205031
"GLTSCR2",-0.517006253864159,0.336407294718231
"NAPEPLD",2.75908151882726,-2.0542336722169
"GLB1",-0.310827654550254,-0.275293337365385
"IQCE",0.354217160850466,-0.936442466083883
"PNPLA2",-0.623072314823158,0.405420719813677
"HS3ST3B1",-0.256989170663467,0.658273117107103
"CCL4",-0.0434711119727937,0.404369048631638
"GSTK1",0.260378271124048,-0.275104532471924
"SNW1",-0.170772168656071,0.330938452452316
"SHROOM4",1.76752560379561,-1.36604907811671
"SDE2",-0.258324916276795,0.273108028863294
"ARNT",-0.0196604620431431,0.451477116033301
"CDK1",2.23223661152382,-0.840587412556718
"RTN4IP1",0.493616164315603,-0.411189174265244
"LGALS3",0.734613524777525,-0.850955966676768
"C12orf5",0.511506792432025,-0.405645422485981
"PRAMEF8",0.231162340584819,-0.628209013163267
"MDFIC",0.0260154627621825,-0.298403299672405
